Title,Phone_Number,Addresss,Rating,Num_rating,Rating Count,Price,Category,Cleaned Category,Website_URL,Latitudes,Longitudes,Image_URL,Description,Cleaned Addresss,Business Id
Topsalz,6 52 27 74 96,"5759+5F4, D 61, Buea",5,2,0.009242144,,The head office, The head office ,"https://www.google.com/maps/place/Topsalz/@4.1579,9.2506812,15z/data=!4m10!1m2!2m1!1soffice+in+buea!3m6!1s0x106133105693b1fd:0xad0ececd2d77e927!8m2!3d4.1579!4d9.2687056!15sCg5vZmZpY2UgaW4gYnVlYZIBEGNvcnBvcmF0ZV9vZmZpY2XgAQA!16s%2Fg%2F11j1n8m85f?entry=ttu",4.1579,9.2506812,https://lh5.googleusercontent.com/p/AF1QipOuDv0fEGQHeLWOVe_SiFRsJ9ejrItj7trFFRGA=w408-h408-k-no,The head office, 5759 5F4  D 61  Buea ,0x106133105693b1fd:0xad0ececd2d77e927
Info-Rich,6 76 84 65 50,"574Q+9C7, Buea",5,2,0.009242144,,The head office, The head office ,"https://www.google.com/maps/place/Info-Rich/@4.1559153,9.2705231,15z/data=!4m10!1m2!2m1!1soffice+in+buea!3m6!1s0x1061318d6df14819:0x76f28ef4939018d2!8m2!3d4.1559153!4d9.2885475!15sCg5vZmZpY2UgaW4gYnVlYZIBEGNvcnBvcmF0ZV9vZmZpY2XgAQA!16s%2Fg%2F11gg73c19v?entry=ttu",4.1559153,9.2705231,https://lh5.googleusercontent.com/p/AF1QipPC_eLZIQZeJspfyntB8g8a0N0omE_a2lemQSsf=w449-h240-k-no,The head office, 574Q 9C7  Buea ,0x1061318d6df14819:0x76f28ef4939018d2
"Kuelap Africa SAS, Buea",6 57 02 54 70,"Top Floor, 1st Trust Building, Great Soppo, Buea",5,1,0.004621072,,The head office, The head office ,"https://www.google.com/maps/place/Kuelap+Africa+SAS,+Buea/@4.1542183,9.2395426,15z/data=!4m10!1m2!2m1!1soffice+in+buea!3m6!1s0x10613399b6fbb91b:0x2cdaf40cd07e923c!8m2!3d4.1542183!4d9.257567!15sCg5vZmZpY2UgaW4gYnVlYZIBEGNvcnBvcmF0ZV9vZmZpY2XgAQA!16s%2Fg%2F11s3zlxw19?entry=ttu",4.1542183,9.2395426,,The head office, Top Floor  1st Trust Building  Great Soppo  Buea ,0x10613399b6fbb91b:0x2cdaf40cd07e923c
PCC Communication Department,2 43 08 62 30,"Synod Office, Buea",5,1,0.004621072,,The head office, The head office ,"https://www.google.com/maps/place/PCC+Communication+Department/@4.1559658,9.2451998,15z/data=!4m10!1m2!2m1!1soffice+in+buea!3m6!1s0x1061336029bf8083:0xf2ddfa84011bb727!8m2!3d4.1559658!4d9.2632242!15sCg5vZmZpY2UgaW4gYnVlYZIBEGNvcnBvcmF0ZV9vZmZpY2XgAQA!16s%2Fg%2F11f7r1znxw?entry=ttu",4.1559658,9.2451998,https://lh5.googleusercontent.com/p/AF1QipM0D2EI2aOoMJRaOY50wVmxIItiXlHyUesV8w4P=w1157-h240-k-no,The head office, Synod Office  Buea ,0x1061336029bf8083:0xf2ddfa84011bb727
Instant Print services,6 76 84 65 50,"574Q+G56, Buea",5,1,0.004621072,,The head office, The head office ,"https://www.google.com/maps/place/Instant+Print+services/@4.1562998,9.2698722,15z/data=!4m10!1m2!2m1!1soffice+in+buea!3m6!1s0x106131e584db7a21:0x1b1c7503862bc982!8m2!3d4.1562998!4d9.2878966!15sCg5vZmZpY2UgaW4gYnVlYZIBEGNvcnBvcmF0ZV9vZmZpY2XgAQA!16s%2Fg%2F11hz2ztvx2?entry=ttu",4.1562998,9.2698722,https://lh5.googleusercontent.com/p/AF1QipOeXgBGl0w-xpp9Rh2ZBd9UxJalM2ZeCTSmgS1b=w408-h544-k-no,The head office, 574Q G56  Buea ,0x106131e584db7a21:0x1b1c7503862bc982
THE CURE,6 76 97 65 87,"47XP+47G, Buea",5,1,0.004621072,,The head office, The head office ,"https://www.google.com/maps/place/THE+CURE/@4.1478124,9.2676873,15z/data=!4m10!1m2!2m1!1soffice+in+buea!3m6!1s0x106131914f4e1873:0x6056e35323c65838!8m2!3d4.1478124!4d9.2857117!15sCg5vZmZpY2UgaW4gYnVlYZIBEGNvcnBvcmF0ZV9vZmZpY2XgAQA!16s%2Fg%2F11p5lms6c1?entry=ttu",4.1478124,9.2676873,https://lh5.googleusercontent.com/p/AF1QipN-sWb29yFPp1KU1WtaeCGoFIya1H6LehUkyJ06=w408-h544-k-no,The head office, 47XP 47G  Buea ,0x106131914f4e1873:0x6056e35323c65838
CCREAD-Cameroon's Head Office,,"57MH+4PR, Buea",5,1,0.004621072,,The head office, The head office ,"https://www.google.com/maps/place/CCREAD-Cameroon's+Head+Office/@4.1828731,9.2612433,15z/data=!4m10!1m2!2m1!1soffice+in+buea!3m6!1s0x10612f74ac710539:0xba71f18f6120192a!8m2!3d4.1828731!4d9.2792677!15sCg5vZmZpY2UgaW4gYnVlYZIBEGNvcnBvcmF0ZV9vZmZpY2XgAQA!16s%2Fg%2F11l98v_75s?entry=ttu",4.1828731,9.2612433,https://lh5.googleusercontent.com/p/AF1QipNOp731Fc7D-B9XMLQWuPFXA-XHmHcHSCZZl-r5=w426-h240-k-no,The head office, 57MH 4PR  Buea ,0x10612f74ac710539:0xba71f18f6120192a
ELLOMEH HUMAN RESOURCE SERVICES,6 71 61 38 80,"574R+36V, Buea",5,1,0.004621072,,The head office, The head office ,"https://www.google.com/maps/place/ELLOMEH+HUMAN+RESOURCE+SERVICES/@4.155232,9.2725279,15z/data=!4m10!1m2!2m1!1soffice+in+buea!3m6!1s0x1061314dc7daf1e1:0xf44e5657a40700b5!8m2!3d4.155232!4d9.2905523!15sCg5vZmZpY2UgaW4gYnVlYZIBEGNvcnBvcmF0ZV9vZmZpY2XgAQA!16s%2Fg%2F11gjs83434?entry=ttu",4.155232,9.2725279,,The head office, 574R 36V  Buea ,0x1061314dc7daf1e1:0xf44e5657a40700b5
GATEWAY HIGHER INSTITUTE-BUEA,6 51 39 68 93,"574P+6Q9, molyko to Buea town Road, Buea",5,2,0.009242144,,University, University ,"https://www.google.com/maps/place/GATEWAY+HIGHER+INSTITUTE-BUEA/@4.1588011,9.2747551,15z/data=!4m10!1m2!2m1!1suniveristy+in+buea!3m6!1s0x106131b7942aa525:0x85be9fa041185732!8m2!3d4.1555251!4d9.2869935!15sChJ1bml2ZXJzaXR5IGluIGJ1ZWGSAQp1bml2ZXJzaXR54AEA!16s%2Fg%2F11shv422wz?entry=ttu",4.1588011,9.2747551,,University, 574P 6Q9  molyko to Buea town Road  Buea ,0x106131b7942aa525:0x85be9fa041185732
SHEP Academy,2 33 32 02 85,"Bundoma Gate Junction, Buea",5,7,0.032347505,,Vocational education institution, Vocational education institution ,"https://www.google.com/maps/place/SHEP+Academy/@4.1572436,9.2320161,14z/data=!4m10!1m2!2m1!1sschool+in+buea!3m6!1s0x10613323c835a251:0x3378020650915ef6!8m2!3d4.1572436!4d9.268065!15sCg5zY2hvb2wgaW4gYnVlYZIBGnZvY2F0aW9uYWxfdHJhaW5pbmdfc2Nob29s4AEA!16s%2Fg%2F11rjqyxf7d?entry=ttu",4.1572436,9.2320161,https://lh5.googleusercontent.com/p/AF1QipNIFdUUkrhawmS-ks-fjGerT5KoZVL6hGsI3_Tc=w408-h271-k-no,Vocational education institution, Bundoma Gate Junction  Buea ,0x10613323c835a251:0x3378020650915ef6
